titulo,autor,paginas,genero,nota,leram,favoritos,ano_publicacao,genero_autor,pais_origem,sigla_pais,nota_renata,inicio_leitura,fim_leitura,dias_leitura,ano_fim_leitura
Flores para Algernon,Daniel Keyes,288,Literatura Estrangeira / Romance / Ficção científica ,4.5,53899,10865,1966,M,Estados Unidos,USA,3.5,17/02/23,24/02/23,7,2023
Klara e o sol,Kazuo Ishiguro,336,Ficção / Literatura Estrangeira / Romance ,3.9,757,50,2021,M,Reino Unido,GBR,4.5,31/01/23,16/02/23,16,2023
Rilla de Ingleside,L. M. Montgomery,320,Aventura / Infantojuvenil / Literatura Estrangeira / Romance ,4.3,4482,486,1921,F,Canadá,CAN,3.5,01/02/23,16/02/23,15,2023
Persépolis,Marjane Satrapi,352,"Biografia, Autobiografia, Memórias / HQ, comics, mangá ",4.6,26364,4264,2000,F,Irã,IRN,4,25/01/23,03/02/23,9,2023
Harry Potter e o Cálice de Fogo,J.K. Rowling,584,Aventura / Fantasia / Ficção / Infantojuvenil / Jovem adulto / Literatura Estrangeira / Romance ,4.6,511086,39610,2000,F,Reino Unido,GBR,5,,31/01/23,,2023
O Profeta,Khalil Gibran,96,Ensaios / Literatura Estrangeira / Religião e Espiritualidade / Filosofia / Romance ,4.2,5678,602,1923,M,Líbano,LBN,4,23/12/22,25/01/23,33,2023
Cartas de um Diabo a seu Aprendiz,C. S. Lewis,208,Ficção / Filosofia / Literatura Estrangeira / Religião e Espiritualidade / Romance ,4.4,13973,1452,1942,M,Irlanda,IRL,4,17/12/22,17/01/23,31,2023
E Não Sobrou Nenhum,Agatha Christie,400,Romance policial / Ficção ,4.5,79200,9912,1939,F,Reino Unido,GBR,4,01/01/23,09/01/23,8,2023
O Caderninho de Desafios de Dash & Lily,David Levithan,256,Jovem adulto / Romance ,3.8,1947,102,2016,M,Estados Unidos,USA,4,19/12/22,31/12/22,12,2022
Fernão Capelo Gaivota,Richard Bach,80,Contos / Literatura Estrangeira ,3.9,16398,1029,1970,M,Estados Unidos,USA,3,17/12/22,18/12/22,1,2022
